P_TOTAL,POB0_4,POB18_,PNACOENT,GRADOESCO,PCASADA12_,P_1SM,P1_2SM,P2_5SM,P6_10SM,P10_SM,T_VIVHAB,VIVPARHAB,PRO_OCVP,PRO_OVP,VP_TV,TOTHOG
43.0,4.0,21.0,4.0,5.0,16.0,1.0,7.0,4.0,0.0,0.0,9.0,9.0,1.87,4.78,8.0,9.0
882.0,131.0,360.0,219.0,4.0,275.0,23.0,116.0,18.0,3.0,2.0,159.0,158.0,2.04,5.56,146.0,158.0
241.0,37.0,100.0,67.0,4.0,80.0,13.0,33.0,2.0,1.0,1.0,46.0,45.0,2.14,5.27,37.0,45.0
29.0,1.0,18.0,3.0,4.0,8.0,1.0,8.0,1.0,0.0,0.0,7.0,7.0,1.21,4.14,4.0,7.0
20.0,2.0,11.0,2.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,3.33,5.0,0.0,4.0
306.0,45.0,143.0,10.0,5.0,116.0,19.0,22.0,3.0,1.0,0.0,52.0,51.0,2.09,5.92,40.0,51.0
62.0,3.0,30.0,4.0,6.0,22.0,1.0,7.0,5.0,1.0,0.0,13.0,13.0,1.44,4.77,13.0,13.0
1880.0,273.0,857.0,371.0,7.0,639.0,42.0,215.0,116.0,40.0,10.0,391.0,380.0,1.68,4.83,361.0,381.0
10.0,3.0,7.0,0.0,5.0,6.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,1.25,3.33,1.0,3.0
22.0,5.0,11.0,3.0,3.0,8.0,2.0,4.0,0.0,0.0,0.0,4.0,4.0,3.14,5.5,3.0,4.0
41.0,6.0,23.0,2.0,5.0,19.0,4.0,4.0,0.0,0.0,1.0,10.0,10.0,1.46,4.1,9.0,10.0
23.0,2.0,12.0,2.0,8.0,8.0,0.0,2.0,1.0,1.0,0.0,5.0,5.0,0.96,4.6,4.0,5.0
17.0,2.0,8.0,0.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,5.0,4.0,1.18,3.25,3.0,4.0
63.0,18.0,29.0,6.0,6.0,28.0,0.0,7.0,0.0,0.0,0.0,14.0,13.0,1.55,4.54,13.0,13.0
18.0,5.0,10.0,3.0,4.0,8.0,1.0,0.0,3.0,0.0,0.0,4.0,4.0,1.2,4.5,4.0,4.0
162.0,23.0,70.0,38.0,6.0,59.0,6.0,14.0,11.0,1.0,0.0,36.0,34.0,2.0,4.53,33.0,35.0
53.0,8.0,23.0,17.0,4.0,20.0,3.0,11.0,2.0,0.0,0.0,11.0,11.0,2.79,4.82,7.0,11.0
